[17:52:51:979500 +02:00] [Thread 23188]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
[17:52:51:979882 +02:00] [Thread 23184]  Performed Query 1 - 39064 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[17:52:52:183792 +02:00] [Thread 23192]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,0,0,10,0,0,0]
[17:52:52:183858 +02:00] [Thread 23192]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof Bildungsstop",0,0,0,0,10,0,0,0]
[17:53:00:185909 +02:00] [Thread 23184]  Performed Query 1 - 39064 - UPDATE players SET name = 'Prof Bildungsstop', xp = 1000, level = 1, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[17:53:00:579371 +02:00] [Thread 23184]  Performed Query 1 - 39064 - UPDATE players SET name = 'Prof Bildungsstop', xp = 2000, level = 1, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[17:53:16:213697 +02:00] [Thread 23184]  Performed Query 1 - 39064 - UPDATE players SET name = 'Prof Bildungsstop', xp = 3000, level = 1, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[17:53:24:396800 +02:00] [Thread 23184]  Performed Query 1 - 39064 - UPDATE players SET name = 'Prof Bildungsstop', xp = 3000, level = 1, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[17:55:41:228490 +02:00] [Thread 23192]  Performed Query 1 - 39064 - SELECT id FROM players WHERE playerid = '76561198216442289'
[17:55:41:445977 +02:00] [Thread 23188]  SINGLE RETURN ARRIVED - [3]
[17:55:41:445978 +02:00] [Thread 23192]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
[17:55:41:446096 +02:00] [Thread 23188]  Performed Query 1 - 39064 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[17:55:41:666333 +02:00] [Thread 23192]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,3000,1,10,0,0,0]
[17:55:41:666376 +02:00] [Thread 23188]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof Bildungsstop",0,0,3000,1,10,0,0,0]
[17:55:51:467010 +02:00] [Thread 23192]  Performed Query 1 - 39064 - UPDATE players SET name = 'Prof Bildungsstop', xp = 4000, level = 3, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[17:55:57:594463 +02:00] [Thread 23192]  Performed Query 1 - 39064 - UPDATE players SET name = 'Prof Bildungsstop', xp = 7000, level = 3, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[18:19:30:999690 +02:00] [Thread 19284]  Performed Query 1 - 60475 - SHOW PROCESSLIST
[18:19:31:091852 +02:00] [Thread 19284]  SINGLE RETURN ARRIVED - [4,"root","localhost:31131","koth","Sleep",2753,"","",0]
[18:19:31:091889 +02:00] [Thread 19688]  Finished Query - SHOW PROCESSLIST - with return - [4,"root","localhost:31131","koth","Sleep",2753,"","",0]
[18:19:58:981266 +02:00] [Thread 19284]  Performed Query 1 - 60475 - SELECT id FROM players WHERE playerid = '76561198216442289'
[18:19:59:200878 +02:00] [Thread 19688]  SINGLE RETURN ARRIVED - [3]
[18:19:59:200911 +02:00] [Thread 19284]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
[18:19:59:201014 +02:00] [Thread 19688]  Performed Query 1 - 60475 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[18:19:59:404624 +02:00] [Thread 19284]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,7000,3,10,0,0,0]
[18:19:59:404655 +02:00] [Thread 19688]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof Bildungsstop",0,0,7000,3,10,0,0,0]
[18:20:16:306002 +02:00] [Thread 19284]  Performed Query 1 - 60475 - UPDATE players SET name = 'Prof Bildungsstop', xp = 10000, level = 5, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[18:20:17:216382 +02:00] [Thread 19284]  Performed Query 1 - 60475 - UPDATE players SET name = 'Prof Bildungsstop', xp = 15000, level = 5, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
[18:20:20:296418 +02:00] [Thread 19284]  Performed Query 1 - 60475 - UPDATE players SET name = 'Prof Bildungsstop', xp = 21000, level = 5, money = 10, kills = 0, teamkills = 0, deaths = 0 WHERE playerid = '76561198216442289'
